# ---
# experiment_id: MOF Synthesis_Aditya_and_Hardik 2_20250724_172122
# experiment_name: MOF Synthesis
# operator_name: Aditya_and_Hardik 2
# target_compound: MOF
# project_id: MOF_Phase1
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: 
# created_at: 2025-07-24T17:21:22.822428
# instrument_serial: 2
# measurement_timestamp: 2025-07-24T17:48:36.885505
# well_id: A2
# slot: Well A2 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 1000
# scans_averaged: 1
# boxcar_width: 0
# dark_id: dark_20250724_174304
# white_id: white_20250724_174309
# wavelength_unit: nm
# absorbance_unit: AU
# ---
wavelength_nm,0 min,15 min
550.9,-0.0,-0.0
551.3,-0.0,-0.0
551.8,-0.0,-0.0
552.3,-0.0,-0.0
552.8,-0.0,-0.0
553.2,-0.0,-0.0
553.7,-0.0,-0.0
554.2,-0.0,-0.0
554.6,-0.0,-0.0
555.1,-0.0,-0.0
555.6,-0.0,-0.0
556.0,-0.0,-0.0
556.5,-0.0,-0.0
557.0,-0.0,-0.0
557.4,-0.0,-0.0
557.9,-0.0,-0.0
558.4,-0.0,-0.0
558.8,-0.0,-0.0
559.3,-0.0,-0.0
559.8,-0.0,-0.0
560.2,-0.0,-0.0
560.7,-0.0,-0.0
561.2,-0.0,-0.0
561.6,-0.0,-0.0
562.1,-0.0,-0.0
562.6,-0.0,-0.0
563.0,-0.0,-0.0
563.5,-0.0,-0.0
564.0,-0.0,-0.0
564.4,-0.0,-0.0
564.9,-0.0,-0.0
565.4,-0.0,-0.0
565.8,-0.0,-0.0
566.3,-0.0,-0.0
566.8,-0.0,-0.0
567.2,-0.0,-0.0
567.7,-0.0,-0.0
568.2,-0.0,-0.0
568.6,-0.0,-0.0
569.1,-0.0,-0.0
569.6,-0.0,-0.0
570.0,-0.0,-0.0
570.5,-0.0,-0.0
571.0,-0.0,-0.0
571.4,-0.0,-0.0
571.9,-0.0,-0.0
572.4,-0.0,-0.0
572.8,-0.0,-0.0
573.3,-0.0,-0.0
573.8,-0.0,-0.0
574.2,-0.0,-0.0
574.7,-0.0,-0.0
575.1,-0.0,-0.0
575.6,-0.0,-0.0
576.1,-0.0,-0.0
576.5,-0.0,-0.0
577.0,-0.0,-0.0
577.5,-0.0,-0.0
577.9,-0.0,-0.0
578.4,-0.0,-0.0
578.9,-0.0,-0.0
579.3,-0.0,-0.0
579.8,-0.0,-0.0
580.2,-0.0,-0.0
580.7,-0.0,-0.0
581.2,-0.0,-0.0
581.6,-0.0,-0.0
582.1,-0.0,-0.0
582.6,-0.0,-0.0
583.0,-0.0,-0.0
583.5,-0.0,-0.0
583.9,-0.0,-0.0
584.4,-0.0,-0.0
584.9,-0.0,-0.0
585.3,-0.0,-0.0
585.8,-0.0,-0.0
586.3,-0.0,-0.0
586.7,-0.0,-0.0
587.2,-0.0,-0.0
587.6,-0.0,-0.0
588.1,-0.0,-0.0
588.6,-0.0,-0.0
589.0,-0.0,-0.0
589.5,-0.0,-0.0
589.9,-0.0,-0.0
590.4,-0.0,-0.0
590.9,-0.0,-0.0
591.3,-0.0,-0.0
591.8,-0.0,-0.0
592.3,-0.0,-0.0
592.7,-0.0,-0.0
593.2,-0.0,-0.0
593.6,-0.0,-0.0
594.1,-0.0,-0.0
594.6,-0.0,-0.0
595.0,-0.0,-0.0
595.5,-0.0,-0.0
595.9,-0.0,-0.0
596.4,-0.0,-0.0
596.8,-0.0,-0.0
597.3,-0.0,-0.0
597.8,-0.0,-0.0
598.2,-0.0,-0.0
598.7,-0.0,-0.0
599.1,-0.0,-0.0
599.6,-0.0,-0.0
600.1,-0.0,-0.0
600.5,-0.0,-0.0
601.0,-0.0,-0.0
601.4,-0.0,-0.0
601.9,-0.0,-0.0
602.4,-0.0,-0.0
602.8,-0.0,-0.0
603.3,-0.0,-0.0
