# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_221848
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T22:18:48.445755
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T22:33:38.832838
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_222000
# white_id: white_20250725_222004
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,135 min,150 min,165 min,180 min
240.8,0.0511937100057712,0.1191884630632938,0.2814659934365656,0.5609078670954225,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
241.3,0.3772790070994988,0.482443744806128,0.8019907225116008,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
241.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
242.4,0.0828348503434485,0.1640824439250813,0.3726044364639033,0.8285084081962081,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
243.0,0.1308069220154541,0.2129231015628564,0.4179216058847113,0.8605260402724476,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
243.5,-0.0,-0.0,-0.0,0.1655596476024748,0.6635467053828693,1.0842264963854211,1.287621537084801,9.0,9.0,9.0,1.268366834260834,9.0,0.9059657504258737
244.0,0.025156451049215,0.0762827881727726,0.1893907166551954,0.3552557363109961,0.6647654165416235,0.8163927306411835,0.8567670996971775,1.1030206457468696,2.311097835722418,1.2501539158468369,0.8533227224694571,1.2511615707855412,0.7686933243637043
244.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.007939020536353,0.056542392759608,0.1248735608592394,0.0782245523868048,0.00629989194299,0.0802183490609746,-0.0
245.1,0.0414786613424028,0.0842241579821624,0.172131981686639,0.2940771670148246,0.4763052081694806,0.546818133566583,0.5603548726732848,0.640803572699234,0.7653976893093485,0.6846950678526168,0.5590287844450622,0.6882463209551707,0.52785222772144
245.6,0.0462858191687383,0.1058632216242102,0.2351190525081358,0.4487338425945713,0.8970221416980653,1.2153531687768406,1.2879881455664512,9.0,9.0,9.0,1.2874394701998744,9.0,1.1102530753634736
